==================================================================
 n = 17
 t = 12
 s = 5
==================================================================
offset               #images         log2(#images)
(   0,                 4025,        11.9747730679)
(   1,                 3961,        11.9516489859)
(   2,                 3894,        11.9270371687)
(   3,                 3842,        11.9076418037)
(   4,                 3787,        11.8868397059)
(   5,                 3724,        11.8626373576)
(   6,                 3681,        11.8458820344)
(   7,                 3627,        11.8245610300)
(   8,                 3584,        11.8073549221)
(   9,                 3548,        11.7927902943)
(  10,                 3505,        11.7751987289)
(  11,                 3459,        11.7561392984)
(  12,                 3415,        11.7376698632)
(  13,                 3368,        11.7176764231)
(  14,                 3325,        11.6991386253)
(  15,                 3291,        11.6843103111)
(  16,                 3250,        11.6662240028)
(  17,                 3206,        11.6465587102)
(  18,                 3172,        11.6311770557)
(  19,                 3132,        11.6128684973)
(  20,                 3098,        11.5971214288)
(  21,                 3058,        11.5783726914)
(  22,                 3023,        11.5617652636)
(  23,                 2977,        11.5396435062)
(  24,                 2945,        11.5240519187)
(  25,                 2917,        11.5102696709)
(  26,                 2881,        11.4923539452)
(  27,                 2855,        11.4792750303)
(  28,                 2823,        11.4630134134)
(  29,                 2787,        11.4444972871)
(  30,                 2761,        11.4309751726)
(  31,                 2731,        11.4152135988)
==================================================================
# Function call (real) = 109748
# Function call (if without collision) = 131072

Takes time: 0.0001992667 mins.

