==================================================================
 n = 21
 t = 15
 s = 6
==================================================================
offset               #images         log2(#images)
(   0,                32517,        14.9889065409)
(   1,                32252,        14.9771010068)
(   2,                32001,        14.9658293682)
(   3,                31761,        14.9549687162)
(   4,                31521,        14.9440256844)
(   5,                31277,        14.9328145197)
(   6,                31032,        14.9214690605)
(   7,                30806,        14.9109237476)
(   8,                30589,        14.9007253234)
(   9,                30371,        14.8904067912)
(  10,                30164,        14.8805401343)
(  11,                29947,        14.8701238650)
(  12,                29716,        14.8589523108)
(  13,                29503,        14.8485740413)
(  14,                29312,        14.8392037881)
(  15,                29120,        14.8297227351)
(  16,                28933,        14.8204283005)
(  17,                28745,        14.8110234103)
(  18,                28544,        14.8008998999)
(  19,                28344,        14.7907557501)
(  20,                28143,        14.7804885054)
(  21,                27950,        14.7705606626)
(  22,                27776,        14.7615512324)
(  23,                27582,        14.7514394515)
(  24,                27408,        14.7423094361)
(  25,                27216,        14.7321674257)
(  26,                27040,        14.7228075312)
(  27,                26843,        14.7122582971)
(  28,                26672,        14.7030383890)
(  29,                26501,        14.6937591795)
(  30,                26332,        14.6845294824)
(  31,                26171,        14.6756814307)
(  32,                25998,        14.6661130220)
(  33,                25852,        14.6579882763)
(  34,                25680,        14.6483575820)
(  35,                25513,        14.6389449308)
(  36,                25353,        14.6298688498)
(  37,                25217,        14.6221090318)
(  38,                25062,        14.6132139289)
(  39,                24918,        14.6049006571)
(  40,                24778,        14.5967721221)
(  41,                24635,        14.5884218512)
(  42,                24493,        14.5800818713)
(  43,                24360,        14.5722265128)
(  44,                24231,        14.5645663248)
(  45,                24077,        14.5553680227)
(  46,                23922,        14.5460503907)
(  47,                23789,        14.5380070071)
(  48,                23652,        14.5296745618)
(  49,                23506,        14.5207414370)
(  50,                23384,        14.5132341138)
(  51,                23264,        14.5058115539)
(  52,                23127,        14.4972905134)
(  53,                22997,        14.4891580508)
(  54,                22874,        14.4814210529)
(  55,                22751,        14.4736423386)
(  56,                22635,        14.4662676861)
(  57,                22506,        14.4580220484)
(  58,                22382,        14.4500513373)
(  59,                22260,        14.4421659722)
(  60,                22141,        14.4344327626)
(  61,                22018,        14.4263958075)
(  62,                21896,        14.4183797194)
(  63,                21763,        14.4095898234)
==================================================================
# Function call (real) = 1725891
# Function call (if without collision) = 2097152

Takes time: 0.0027526500 mins.

