==================================================================
 n = 28
 t = 20
 s = 7
==================================================================
offset               #images         log2(#images)
(   0,              1046558,        19.9972208370)
(   1,              1044521,        19.9944100673)
(   2,              1042495,        19.9916090336)
(   3,              1040487,        19.9888275093)
(   4,              1038413,        19.9859489191)
(   5,              1036380,        19.9831216492)
(   6,              1034330,        19.9802651161)
(   7,              1032353,        19.9775049357)
(   8,              1030354,        19.9747086604)
(   9,              1028396,        19.9719644732)
(  10,              1026355,        19.9690983920)
(  11,              1024342,        19.9662660418)
(  12,              1022387,        19.9635099665)
(  13,              1020420,        19.9607316501)
(  14,              1018466,        19.9579663882)
(  15,              1016460,        19.9551220123)
(  16,              1014525,        19.9523729859)
(  17,              1012575,        19.9495973397)
(  18,              1010647,        19.9468477483)
(  19,              1008722,        19.9440971972)
(  20,              1006834,        19.9413944104)
(  21,              1004910,        19.9386348684)
(  22,              1003043,        19.9359520243)
(  23,              1001147,        19.9332223922)
(  24,               999322,        19.9305900903)
(  25,               997424,        19.9278473920)
(  26,               995581,        19.9251791721)
(  27,               993737,        19.9225045566)
(  28,               991928,        19.9198758795)
(  29,               989999,        19.9170675424)
(  30,               988212,        19.9144610492)
(  31,               986344,        19.9117313670)
(  32,               984571,        19.9091357208)
(  33,               982689,        19.9063753812)
(  34,               980961,        19.9038362549)
(  35,               979176,        19.9012086719)
(  36,               977352,        19.8985187267)
(  37,               975591,        19.8959169235)
(  38,               973803,        19.8932704196)
(  39,               971969,        19.8905507757)
(  40,               970183,        19.8878973746)
(  41,               968382,        19.8852167376)
(  42,               966667,        19.8826594663)
(  43,               965007,        19.8801798819)
(  44,               963289,        19.8776091659)
(  45,               961487,        19.8749078259)
(  46,               959792,        19.8723622625)
(  47,               958115,        19.8698393036)
(  48,               956480,        19.8673752766)
(  49,               954754,        19.8647695336)
(  50,               953042,        19.8621802687)
(  51,               951359,        19.8596303263)
(  52,               949614,        19.8569816790)
(  53,               947995,        19.8545199244)
(  54,               946307,        19.8519487717)
(  55,               944661,        19.8494371727)
(  56,               942946,        19.8468156284)
(  57,               941311,        19.8443119286)
(  58,               939601,        19.8416887232)
(  59,               937870,        19.8390284362)
(  60,               936236,        19.8365127148)
(  61,               934608,        19.8340018608)
(  62,               932973,        19.8314758049)
(  63,               931357,        19.8289747501)
(  64,               929781,        19.8265314192)
(  65,               928171,        19.8240310967)
(  66,               926614,        19.8216089543)
(  67,               924987,        19.8190735642)
(  68,               923417,        19.8166227669)
(  69,               921770,        19.8140472888)
(  70,               920228,        19.8116318288)
(  71,               918591,        19.8090631231)
(  72,               917081,        19.8066896381)
(  73,               915531,        19.8042492111)
(  74,               914055,        19.8019214514)
(  75,               912506,        19.7994745195)
(  76,               910919,        19.7969632480)
(  77,               909337,        19.7944555303)
(  78,               907854,        19.7921007781)
(  79,               906321,        19.7896625877)
(  80,               904835,        19.7872952099)
(  81,               903315,        19.7848696401)
(  82,               901743,        19.7823567932)
(  83,               900282,        19.7800174495)
(  84,               898821,        19.7776743064)
(  85,               897284,        19.7752051603)
(  86,               895777,        19.7727800984)
(  87,               894240,        19.7703025546)
(  88,               892805,        19.7679855812)
(  89,               891266,        19.7654965455)
(  90,               889761,        19.7630583381)
(  91,               888263,        19.7606273724)
(  92,               886774,        19.7582069458)
(  93,               885299,        19.7558052663)
(  94,               883807,        19.7533718321)
(  95,               882356,        19.7510013250)
(  96,               880899,        19.7486170900)
(  97,               879444,        19.7462321891)
(  98,               877974,        19.7438186914)
(  99,               876510,        19.7414110251)
( 100,               875093,        19.7390768211)
( 101,               873651,        19.7366975515)
( 102,               872247,        19.7343772049)
( 103,               870856,        19.7320746568)
( 104,               869357,        19.7295892135)
( 105,               867947,        19.7272474236)
( 106,               866540,        19.7249068210)
( 107,               865140,        19.7225740881)
( 108,               863798,        19.7203344506)
( 109,               862408,        19.7180110355)
( 110,               861108,        19.7158346659)
( 111,               859708,        19.7134872058)
( 112,               858321,        19.7111577708)
( 113,               856895,        19.7087589083)
( 114,               855537,        19.7064707237)
( 115,               854123,        19.7040843180)
( 116,               852800,        19.7018479125)
( 117,               851455,        19.6995707589)
( 118,               850101,        19.6972747316)
( 119,               848720,        19.6949291493)
( 120,               847408,        19.6926972230)
( 121,               846065,        19.6904089789)
( 122,               844700,        19.6880795255)
( 123,               843364,        19.6857959142)
( 124,               842069,        19.6835789285)
( 125,               840709,        19.6812469920)
( 126,               839372,        19.6789508126)
( 127,               838099,        19.6767611460)
==================================================================
# Function call (real) = 120672600
# Function call (if without collision) = 134217728

Takes time: 0.8612372000 mins.

