==================================================================
 n = 22
 t = 16
 s = 6
==================================================================
offset               #images         log2(#images)
(   0,                65058,        15.9894388516)
(   1,                64562,        15.9783976506)
(   2,                64107,        15.9681942764)
(   3,                63601,        15.9567618288)
(   4,                63163,        15.9467920749)
(   5,                62684,        15.9358096238)
(   6,                62246,        15.9256935105)
(   7,                61790,        15.9150857530)
(   8,                61325,        15.9041877083)
(   9,                60885,        15.8937992203)
(  10,                60435,        15.8830966858)
(  11,                60040,        15.8736363565)
(  12,                59603,        15.8630973273)
(  13,                59215,        15.8536750568)
(  14,                58794,        15.8433813133)
(  15,                58404,        15.8337795600)
(  16,                58004,        15.8238647726)
(  17,                57616,        15.8141818842)
(  18,                57230,        15.8044839864)
(  19,                56845,        15.7947458370)
(  20,                56471,        15.7852225586)
(  21,                56107,        15.7758931546)
(  22,                55707,        15.7655710039)
(  23,                55313,        15.7553309709)
(  24,                54937,        15.7454905094)
(  25,                54641,        15.7376962666)
(  26,                54294,        15.7285051550)
(  27,                53908,        15.7182117658)
(  28,                53557,        15.7087875298)
(  29,                53205,        15.6992742105)
(  30,                52861,        15.6899160970)
(  31,                52514,        15.6804144697)
(  32,                52196,        15.6716516308)
(  33,                51886,        15.6630576993)
(  34,                51544,        15.6535168794)
(  35,                51202,        15.6439125439)
(  36,                50885,        15.6349528175)
(  37,                50590,        15.6265646187)
(  38,                50292,        15.6180413069)
(  39,                49972,        15.6088323389)
(  40,                49682,        15.6004356314)
(  41,                49405,        15.5923694357)
(  42,                49128,        15.5842578877)
(  43,                48845,        15.5759232684)
(  44,                48586,        15.5682530423)
(  45,                48284,        15.5592575780)
(  46,                47988,        15.5503860665)
(  47,                47728,        15.5425482623)
(  48,                47457,        15.5343332828)
(  49,                47174,        15.5257043153)
(  50,                46876,        15.5165618472)
(  51,                46616,        15.5085375953)
(  52,                46338,        15.4999081568)
(  53,                46091,        15.4921974486)
(  54,                45838,        15.4842564775)
(  55,                45576,        15.4759866909)
(  56,                45319,        15.4678284068)
(  57,                45056,        15.4594316186)
(  58,                44823,        15.4519515911)
(  59,                44599,        15.4447237419)
(  60,                44374,        15.4374269873)
(  61,                44135,        15.4296355773)
(  62,                43907,        15.4221633435)
(  63,                43685,        15.4148503700)
==================================================================
# Function call (real) = 3460735
# Function call (if without collision) = 4194304

Takes time: 0.0063558833 mins.

