==================================================================
 n = 18
 t = 13
 s = 5
==================================================================
offset           #collisions     log2(#collisions)
(   0,                  120,         6.9068905956)
(   1,                  131,         7.0334230015)
(   2,                  107,         6.7414669864)
(   3,                  109,         6.7681843248)
(   4,                  116,         6.8579809951)
(   5,                  126,         6.9772799235)
(   6,                  105,         6.7142455177)
(   7,                   91,         6.5077946402)
(   8,                   91,         6.5077946402)
(   9,                   99,         6.6293566201)
(  10,                  101,         6.6582114828)
(  11,                   88,         6.4594316186)
(  12,                  103,         6.6865005272)
(  13,                   90,         6.4918530963)
(  14,                   86,         6.4262647547)
(  15,                   76,         6.2479275134)
(  16,                   76,         6.2479275134)
(  17,                   84,         6.3923174228)
(  18,                   82,         6.3575520046)
(  19,                   76,         6.2479275134)
(  20,                   74,         6.2094533656)
(  21,                   68,         6.0874628413)
(  22,                   66,         6.0443941194)
(  23,                   68,         6.0874628413)
(  24,                   61,         5.9307373376)
(  25,                   65,         6.0223678130)
(  26,                   74,         6.2094533656)
(  27,                   66,         6.0443941194)
(  28,                   62,         5.9541963104)
(  29,                   51,         5.6724253420)
(  30,                   53,         5.7279204546)
(  31,                   71,         6.1497471195)
==================================================================
# Function call (real) = 219453
# Function call (if without collision) = 262144

Takes time: 0.0003465167 mins.

