==================================================================
 n = 30
 t = 21
 s = 8
==================================================================
offset           #collisions     log2(#collisions)
(   0,                 2080,        11.0223678130)
(   1,                 1972,        10.9454438364)
(   2,                 2091,        11.0299773466)
(   3,                 2011,        10.9736973663)
(   4,                 2010,        10.9729797861)
(   5,                 2013,        10.9751314569)
(   6,                 2076,        11.0195907284)
(   7,                 2008,        10.9715435540)
(   8,                 2073,        11.0175044011)
(   9,                 2030,        10.9872640121)
(  10,                 1999,        10.9650627567)
(  11,                 2008,        10.9715435540)
(  12,                 2064,        11.0112272554)
(  13,                 2078,        11.0209799389)
(  14,                 2036,        10.9915218461)
(  15,                 1973,        10.9461752407)
(  16,                 1997,        10.9636186174)
(  17,                 1910,        10.8993569229)
(  18,                 1999,        10.9650627567)
(  19,                 1986,        10.9556499075)
(  20,                 2000,        10.9657842847)
(  21,                 2047,        10.9992953870)
(  22,                 1967,        10.9417812423)
(  23,                 1931,        10.9151324490)
(  24,                 1943,        10.9240701856)
(  25,                 1859,        10.8603110549)
(  26,                 1879,        10.8757493514)
(  27,                 1982,        10.9527412472)
(  28,                 1931,        10.9151324490)
(  29,                 1969,        10.9432473959)
(  30,                 1920,        10.9068905956)
(  31,                 1925,        10.9106427305)
(  32,                 1975,        10.9476369380)
(  33,                 1890,        10.8841705191)
(  34,                 1877,        10.8742129348)
(  35,                 1904,        10.8948177633)
(  36,                 1828,        10.8360503551)
(  37,                 1867,        10.8665062122)
(  38,                 1891,        10.8849336479)
(  39,                 1901,        10.8925428166)
(  40,                 1961,        10.9373738202)
(  41,                 1911,        10.9001120630)
(  42,                 1863,        10.8634119589)
(  43,                 1949,        10.9285183753)
(  44,                 1872,        10.8703647196)
(  45,                 1817,        10.8273427042)
(  46,                 1876,        10.8734441125)
(  47,                 1920,        10.9068905956)
(  48,                 1917,        10.9046346217)
(  49,                 1869,        10.8680508537)
(  50,                 1886,        10.8811139607)
(  51,                 1904,        10.8948177633)
(  52,                 1802,        10.8153832958)
(  53,                 1916,        10.9038818457)
(  54,                 1885,        10.8803488082)
(  55,                 1826,        10.8344710500)
(  56,                 1842,        10.8470573461)
(  57,                 1850,        10.8533095554)
(  58,                 1763,        10.7838167593)
(  59,                 1868,        10.8672787397)
(  60,                 1881,        10.8772841335)
(  61,                 1899,        10.8910241901)
(  62,                 1799,        10.8129794713)
(  63,                 1837,        10.8431359111)
(  64,                 1877,        10.8742129348)
(  65,                 1776,        10.7944158664)
(  66,                 1759,        10.7805397675)
(  67,                 1864,        10.8641861447)
(  68,                 1784,        10.8008998999)
(  69,                 1803,        10.8161836814)
(  70,                 1747,        10.7706638929)
(  71,                 1787,        10.8033239190)
(  72,                 1844,        10.8486229404)
(  73,                 1767,        10.7870863246)
(  74,                 1780,        10.7976615259)
