==================================================================
 n = 18
 t = 13
 s = 5
==================================================================
offset               #images         log2(#images)
(   0,                 8072,        12.9787104591)
(   1,                 7941,        12.9551049802)
(   2,                 7834,        12.9355334130)
(   3,                 7725,        12.9153192177)
(   4,                 7609,        12.8934911471)
(   5,                 7483,        12.8694010598)
(   6,                 7378,        12.8490140737)
(   7,                 7287,        12.8311092754)
(   8,                 7196,        12.8129794713)
(   9,                 7097,        12.7929935910)
(  10,                 6996,        12.7723145739)
(  11,                 6908,        12.7540523675)
(  12,                 6805,        12.7323794464)
(  13,                 6715,        12.7131716843)
(  14,                 6629,        12.6945755375)
(  15,                 6553,        12.6779398164)
(  16,                 6477,        12.6611100287)
(  17,                 6393,        12.6422773785)
(  18,                 6311,        12.6236529081)
(  19,                 6235,        12.6061738447)
(  20,                 6161,        12.5889488203)
(  21,                 6093,        12.5729370250)
(  22,                 6027,        12.5572243495)
(  23,                 5959,        12.5408545321)
(  24,                 5898,        12.5260101071)
(  25,                 5833,        12.5100223588)
(  26,                 5759,        12.4916026067)
(  27,                 5693,        12.4749733844)
(  28,                 5631,        12.4591754356)
(  29,                 5580,        12.4460494067)
(  30,                 5527,        12.4322808972)
(  31,                 5456,        12.4136279290)
==================================================================
# Function call (real) = 219453
# Function call (if without collision) = 262144

Takes time: 0.0003465167 mins.

