==================================================================
 n = 20
 t = 14
 s = 5
==================================================================
offset               #images         log2(#images)
(   0,                16261,        13.9891283609)
(   1,                16129,        13.9773693735)
(   2,                16014,        13.9670460909)
(   3,                15898,        13.9565576626)
(   4,                15776,        13.9454438364)
(   5,                15641,        13.9330451332)
(   6,                15528,        13.9225844027)
(   7,                15425,        13.9129828689)
(   8,                15311,        13.9022808915)
(   9,                15204,        13.8921633099)
(  10,                15097,        13.8819742725)
(  11,                14979,        13.8706536921)
(  12,                14876,        13.8606990326)
(  13,                14770,        13.8503822057)
(  14,                14669,        13.8404829040)
(  15,                14582,        13.8319009862)
(  16,                14484,        13.8221724615)
(  17,                14371,        13.8108728342)
(  18,                14288,        13.8025163651)
(  19,                14184,        13.7919768209)
(  20,                14082,        13.7815646272)
(  21,                13978,        13.7708703314)
(  22,                13886,        13.7613434561)
(  23,                13786,        13.7509163000)
(  24,                13695,        13.7413616456)
(  25,                13617,        13.7331212737)
(  26,                13544,        13.7253662579)
(  27,                13444,        13.7146748273)
(  28,                13345,        13.7040116850)
(  29,                13257,        13.6944667165)
(  30,                13186,        13.6867193660)
(  31,                13111,        13.6784901063)
==================================================================
# Function call (real) = 482802
# Function call (if without collision) = 524288

Takes time: 0.0007826000 mins.

