==================================================================
 n = 27
 t = 14
 s = 7
==================================================================
offset           #collisions     log2(#collisions)
(   0,                    2,         1.0000000000)
(   1,                    1,         0.0000000000)
(   2,                    0,                 -inf)
(   3,                    0,                 -inf)
(   4,                    2,         1.0000000000)
(   5,                    1,         0.0000000000)
(   6,                    0,                 -inf)
(   7,                    1,         0.0000000000)
(   8,                    1,         0.0000000000)
(   9,                    2,         1.0000000000)
(  10,                    0,                 -inf)
(  11,                    1,         0.0000000000)
(  12,                    0,                 -inf)
(  13,                    0,                 -inf)
(  14,                    3,         1.5849625007)
(  15,                    4,         2.0000000000)
(  16,                    0,                 -inf)
(  17,                    1,         0.0000000000)
(  18,                    1,         0.0000000000)
(  19,                    1,         0.0000000000)
(  20,                    2,         1.0000000000)
(  21,                    1,         0.0000000000)
(  22,                    3,         1.5849625007)
(  23,                    2,         1.0000000000)
(  24,                    0,                 -inf)
(  25,                    1,         0.0000000000)
(  26,                    0,                 -inf)
(  27,                    1,         0.0000000000)
(  28,                    1,         0.0000000000)
(  29,                    0,                 -inf)
(  30,                    0,                 -inf)
(  31,                    2,         1.0000000000)
(  32,                    0,                 -inf)
(  33,                    1,         0.0000000000)
(  34,                    1,         0.0000000000)
(  35,                    0,                 -inf)
(  36,                    0,                 -inf)
(  37,                    1,         0.0000000000)
(  38,                    1,         0.0000000000)
(  39,                    1,         0.0000000000)
(  40,                    4,         2.0000000000)
(  41,                    0,                 -inf)
(  42,                    1,         0.0000000000)
(  43,                    1,         0.0000000000)
(  44,                    2,         1.0000000000)
(  45,                    1,         0.0000000000)
(  46,                    1,         0.0000000000)
(  47,                    0,                 -inf)
(  48,                    2,         1.0000000000)
(  49,                    0,                 -inf)
(  50,                    0,                 -inf)
(  51,                    0,                 -inf)
(  52,                    0,                 -inf)
(  53,                    2,         1.0000000000)
(  54,                    0,                 -inf)
(  55,                    1,         0.0000000000)
(  56,                    2,         1.0000000000)
(  57,                    0,                 -inf)
(  58,                    0,                 -inf)
(  59,                    1,         0.0000000000)
(  60,                    2,         1.0000000000)
(  61,                    6,         2.5849625007)
(  62,                    0,                 -inf)
(  63,                    2,         1.0000000000)
(  64,                    0,                 -inf)
(  65,                    1,         0.0000000000)
(  66,                    2,         1.0000000000)
(  67,                    0,                 -inf)
(  68,                    1,         0.0000000000)
(  69,                    1,         0.0000000000)
(  70,                    0,                 -inf)
(  71,                    0,                 -inf)
(  72,                    0,                 -inf)
(  73,                    1,         0.0000000000)
(  74,                    1,         0.0000000000)
(  75,                    0,                 -inf)
(  76,                    0,                 -inf)
(  77,                    1,         0.0000000000)
(  78,                    1,         0.0000000000)
(  79,                    0,                 -inf)
(  80,                    1,         0.0000000000)
(  81,                    1,         0.0000000000)
(  82,                    1,         0.0000000000)
(  83,                    3,         1.5849625007)
(  84,                    3,         1.5849625007)
(  85,                    0,                 -inf)
(  86,                    1,         0.0000000000)
(  87,                    2,         1.0000000000)
(  88,                    1,         0.0000000000)
(  89,                    1,         0.0000000000)
(  90,                    0,                 -inf)
(  91,                    0,                 -inf)
(  92,                    2,         1.0000000000)
(  93,                    0,                 -inf)
(  94,                    1,         0.0000000000)
(  95,                    2,         1.0000000000)
(  96,                    1,         0.0000000000)
(  97,                    2,         1.0000000000)
(  98,                    1,         0.0000000000)
(  99,                    2,         1.0000000000)
( 100,                    2,         1.0000000000)
( 101,                    1,         0.0000000000)
( 102,                    2,         1.0000000000)
( 103,                    1,         0.0000000000)
( 104,                    1,         0.0000000000)
( 105,                    0,                 -inf)
( 106,                    2,         1.0000000000)
( 107,                    0,                 -inf)
( 108,                    1,         0.0000000000)
( 109,                    2,         1.0000000000)
( 110,                    2,         1.0000000000)
( 111,                    0,                 -inf)
( 112,                    1,         0.0000000000)
( 113,                    1,         0.0000000000)
( 114,                    3,         1.5849625007)
( 115,                    1,         0.0000000000)
( 116,                    0,                 -inf)
( 117,                    0,                 -inf)
( 118,                    1,         0.0000000000)
( 119,                    0,                 -inf)
( 120,                    0,                 -inf)
( 121,                    0,                 -inf)
( 122,                    0,                 -inf)
( 123,                    0,                 -inf)
( 124,                    0,                 -inf)
( 125,                    2,         1.0000000000)
( 126,                    1,         0.0000000000)
( 127,                    1,         0.0000000000)
==================================================================
# Function call (real) = 2105226
# Function call (if without collision) = 2097152

Takes time: 0.0031398833 mins.

