==================================================================
 n = 25
 t = 13
 s = 7
==================================================================
offset           #collisions     log2(#collisions)
(   0,                    2,         1.0000000000)
(   1,                    0,                 -inf)
(   2,                    0,                 -inf)
(   3,                    0,                 -inf)
(   4,                    0,                 -inf)
(   5,                    1,         0.0000000000)
(   6,                    2,         1.0000000000)
(   7,                    0,                 -inf)
(   8,                    1,         0.0000000000)
(   9,                    0,                 -inf)
(  10,                    2,         1.0000000000)
(  11,                    0,                 -inf)
(  12,                    0,                 -inf)
(  13,                    0,                 -inf)
(  14,                    1,         0.0000000000)
(  15,                    1,         0.0000000000)
(  16,                    1,         0.0000000000)
(  17,                    1,         0.0000000000)
(  18,                    0,                 -inf)
(  19,                    0,                 -inf)
(  20,                    1,         0.0000000000)
(  21,                    1,         0.0000000000)
(  22,                    1,         0.0000000000)
(  23,                    2,         1.0000000000)
(  24,                    1,         0.0000000000)
(  25,                    2,         1.0000000000)
(  26,                    2,         1.0000000000)
(  27,                    0,                 -inf)
(  28,                    1,         0.0000000000)
(  29,                    1,         0.0000000000)
(  30,                    1,         0.0000000000)
(  31,                    1,         0.0000000000)
(  32,                    1,         0.0000000000)
(  33,                    1,         0.0000000000)
(  34,                    0,                 -inf)
(  35,                    0,                 -inf)
(  36,                    1,         0.0000000000)
(  37,                    0,                 -inf)
(  38,                    1,         0.0000000000)
(  39,                    3,         1.5849625007)
(  40,                    1,         0.0000000000)
(  41,                    0,                 -inf)
(  42,                    1,         0.0000000000)
(  43,                    0,                 -inf)
(  44,                    0,                 -inf)
(  45,                    1,         0.0000000000)
(  46,                    0,                 -inf)
(  47,                    0,                 -inf)
(  48,                    0,                 -inf)
(  49,                    2,         1.0000000000)
(  50,                    0,                 -inf)
(  51,                    2,         1.0000000000)
(  52,                    1,         0.0000000000)
(  53,                    1,         0.0000000000)
(  54,                    1,         0.0000000000)
(  55,                    1,         0.0000000000)
(  56,                    2,         1.0000000000)
(  57,                    1,         0.0000000000)
(  58,                    1,         0.0000000000)
(  59,                    0,                 -inf)
(  60,                    0,                 -inf)
(  61,                    1,         0.0000000000)
(  62,                    3,         1.5849625007)
(  63,                    0,                 -inf)
(  64,                    0,                 -inf)
(  65,                    0,                 -inf)
(  66,                    2,         1.0000000000)
(  67,                    1,         0.0000000000)
(  68,                    1,         0.0000000000)
(  69,                    0,                 -inf)
(  70,                    1,         0.0000000000)
(  71,                    1,         0.0000000000)
(  72,                    0,                 -inf)
(  73,                    0,                 -inf)
(  74,                    1,         0.0000000000)
(  75,                    0,                 -inf)
(  76,                    1,         0.0000000000)
(  77,                    0,                 -inf)
(  78,                    2,         1.0000000000)
(  79,                    3,         1.5849625007)
(  80,                    1,         0.0000000000)
(  81,                    2,         1.0000000000)
(  82,                    4,         2.0000000000)
(  83,                    1,         0.0000000000)
(  84,                    2,         1.0000000000)
(  85,                    0,                 -inf)
(  86,                    0,                 -inf)
(  87,                    2,         1.0000000000)
(  88,                    1,         0.0000000000)
(  89,                    2,         1.0000000000)
(  90,                    1,         0.0000000000)
(  91,                    4,         2.0000000000)
(  92,                    1,         0.0000000000)
(  93,                    0,                 -inf)
(  94,                    0,                 -inf)
(  95,                    0,                 -inf)
(  96,                    2,         1.0000000000)
(  97,                    1,         0.0000000000)
(  98,                    0,                 -inf)
(  99,                    2,         1.0000000000)
( 100,                    0,                 -inf)
( 101,                    0,                 -inf)
( 102,                    1,         0.0000000000)
( 103,                    3,         1.5849625007)
( 104,                    2,         1.0000000000)
( 105,                    0,                 -inf)
( 106,                    1,         0.0000000000)
( 107,                    2,         1.0000000000)
( 108,                    0,                 -inf)
( 109,                    0,                 -inf)
( 110,                    2,         1.0000000000)
( 111,                    1,         0.0000000000)
( 112,                    1,         0.0000000000)
( 113,                    2,         1.0000000000)
( 114,                    0,                 -inf)
( 115,                    0,                 -inf)
( 116,                    1,         0.0000000000)
( 117,                    0,                 -inf)
( 118,                    0,                 -inf)
( 119,                    1,         0.0000000000)
( 120,                    1,         0.0000000000)
( 121,                    0,                 -inf)
( 122,                    1,         0.0000000000)
( 123,                    0,                 -inf)
( 124,                    2,         1.0000000000)
( 125,                    2,         1.0000000000)
( 126,                    0,                 -inf)
( 127,                    0,                 -inf)
==================================================================
# Function call (real) = 1049735
# Function call (if without collision) = 1048576

Takes time: 0.0014810000 mins.

