==================================================================
 n = 17
 t = 9
 s = 5
==================================================================
offset               #images         log2(#images)
(   0,                  511,         8.9971794809)
(   1,                  509,         8.9915218461)
(   2,                  507,         8.9858419370)
(   3,                  507,         8.9858419370)
(   4,                  506,         8.9829935747)
(   5,                  505,         8.9801395776)
(   6,                  502,         8.9715435540)
(   7,                  500,         8.9657842847)
(   8,                  498,         8.9600019321)
(   9,                  495,         8.9512847150)
(  10,                  494,         8.9483672316)
(  11,                  494,         8.9483672316)
(  12,                  493,         8.9454438364)
(  13,                  492,         8.9425145053)
(  14,                  492,         8.9425145053)
(  15,                  491,         8.9395792143)
(  16,                  490,         8.9366379390)
(  17,                  488,         8.9307373376)
(  18,                  488,         8.9307373376)
(  19,                  488,         8.9307373376)
(  20,                  487,         8.9277779621)
(  21,                  486,         8.9248125036)
(  22,                  485,         8.9218409371)
(  23,                  485,         8.9218409371)
(  24,                  483,         8.9158793788)
(  25,                  483,         8.9158793788)
(  26,                  482,         8.9128893362)
(  27,                  482,         8.9128893362)
(  28,                  481,         8.9098930838)
(  29,                  481,         8.9098930838)
(  30,                  480,         8.9068905956)
(  31,                  480,         8.9068905956)
==================================================================
# Function call (real) = 16257
# Function call (if without collision) = 16384

Takes time: 0.0000245167 mins.

