==================================================================
 n = 27
 t = 14
 s = 7
==================================================================
offset               #images         log2(#images)
(   0,                16382,        13.9998238790)
(   1,                16381,        13.9997358105)
(   2,                16381,        13.9997358105)
(   3,                16381,        13.9997358105)
(   4,                16379,        13.9995596572)
(   5,                16378,        13.9994715725)
(   6,                16378,        13.9994715725)
(   7,                16377,        13.9993834825)
(   8,                16376,        13.9992953870)
(   9,                16374,        13.9991191800)
(  10,                16374,        13.9991191800)
(  11,                16373,        13.9990310684)
(  12,                16373,        13.9990310684)
(  13,                16373,        13.9990310684)
(  14,                16370,        13.9987667014)
(  15,                16366,        13.9984141366)
(  16,                16366,        13.9984141366)
(  17,                16365,        13.9983259819)
(  18,                16364,        13.9982378219)
(  19,                16363,        13.9981496565)
(  20,                16361,        13.9979733094)
(  21,                16360,        13.9978851278)
(  22,                16357,        13.9976205507)
(  23,                16355,        13.9974441390)
(  24,                16355,        13.9974441390)
(  25,                16354,        13.9973559250)
(  26,                16354,        13.9973559250)
(  27,                16353,        13.9972677057)
(  28,                16352,        13.9971794809)
(  29,                16352,        13.9971794809)
(  30,                16352,        13.9971794809)
(  31,                16350,        13.9970030153)
(  32,                16350,        13.9970030153)
(  33,                16349,        13.9969147743)
(  34,                16348,        13.9968265280)
(  35,                16348,        13.9968265280)
(  36,                16348,        13.9968265280)
(  37,                16347,        13.9967382763)
(  38,                16346,        13.9966500192)
(  39,                16345,        13.9965617567)
(  40,                16341,        13.9962086526)
(  41,                16341,        13.9962086526)
(  42,                16340,        13.9961203630)
(  43,                16339,        13.9960320681)
(  44,                16337,        13.9958554620)
(  45,                16336,        13.9957671509)
(  46,                16335,        13.9956788343)
(  47,                16335,        13.9956788343)
(  48,                16333,        13.9955021850)
(  49,                16333,        13.9955021850)
(  50,                16333,        13.9955021850)
(  51,                16333,        13.9955021850)
(  52,                16333,        13.9955021850)
(  53,                16331,        13.9953255140)
(  54,                16331,        13.9953255140)
(  55,                16330,        13.9952371704)
(  56,                16328,        13.9950604670)
(  57,                16328,        13.9950604670)
(  58,                16328,        13.9950604670)
(  59,                16327,        13.9949721072)
(  60,                16325,        13.9947953713)
(  61,                16319,        13.9942650337)
(  62,                16319,        13.9942650337)
(  63,                16317,        13.9940882112)
(  64,                16317,        13.9940882112)
(  65,                16316,        13.9939997918)
(  66,                16314,        13.9938229367)
(  67,                16314,        13.9938229367)
(  68,                16313,        13.9937345011)
(  69,                16312,        13.9936460600)
(  70,                16312,        13.9936460600)
(  71,                16312,        13.9936460600)
(  72,                16312,        13.9936460600)
(  73,                16311,        13.9935576135)
(  74,                16310,        13.9934691616)
(  75,                16310,        13.9934691616)
(  76,                16310,        13.9934691616)
(  77,                16309,        13.9933807043)
(  78,                16308,        13.9932922415)
(  79,                16308,        13.9932922415)
(  80,                16307,        13.9932037733)
(  81,                16306,        13.9931152997)
(  82,                16305,        13.9930268206)
(  83,                16302,        13.9927613509)
(  84,                16299,        13.9924958324)
(  85,                16299,        13.9924958324)
(  86,                16298,        13.9924073153)
(  87,                16296,        13.9922302650)
(  88,                16295,        13.9921417316)
(  89,                16294,        13.9920531929)
(  90,                16294,        13.9920531929)
(  91,                16294,        13.9920531929)
(  92,                16292,        13.9918760990)
(  93,                16292,        13.9918760990)
(  94,                16291,        13.9917875439)
(  95,                16289,        13.9916104175)
(  96,                16288,        13.9915218461)
(  97,                16286,        13.9913446870)
(  98,                16285,        13.9912560993)
(  99,                16283,        13.9910789076)
( 100,                16281,        13.9909016941)
( 101,                16280,        13.9908130792)
( 102,                16278,        13.9906358330)
( 103,                16277,        13.9905472018)
( 104,                16276,        13.9904585651)
( 105,                16276,        13.9904585651)
( 106,                16274,        13.9902812754)
( 107,                16274,        13.9902812754)
( 108,                16273,        13.9901926223)
( 109,                16271,        13.9900152999)
( 110,                16269,        13.9898379557)
( 111,                16269,        13.9898379557)
( 112,                16268,        13.9897492755)
( 113,                16267,        13.9896605897)
( 114,                16264,        13.9893944998)
( 115,                16263,        13.9893057923)
( 116,                16263,        13.9893057923)
( 117,                16263,        13.9893057923)
( 118,                16262,        13.9892170793)
( 119,                16262,        13.9892170793)
( 120,                16262,        13.9892170793)
( 121,                16262,        13.9892170793)
( 122,                16262,        13.9892170793)
( 123,                16262,        13.9892170793)
( 124,                16262,        13.9892170793)
( 125,                16260,        13.9890396370)
( 126,                16259,        13.9889509076)
( 127,                16258,        13.9888621728)
==================================================================
# Function call (real) = 2105226
# Function call (if without collision) = 2097152

Takes time: 0.0031398833 mins.

