==================================================================
 n = 19
 t = 10
 s = 5
==================================================================
offset           #collisions     log2(#collisions)
(   0,                    0,                 -inf)
(   1,                    0,                 -inf)
(   2,                    1,         0.0000000000)
(   3,                    0,                 -inf)
(   4,                    1,         0.0000000000)
(   5,                    2,         1.0000000000)
(   6,                    0,                 -inf)
(   7,                    0,                 -inf)
(   8,                    4,         2.0000000000)
(   9,                    2,         1.0000000000)
(  10,                    1,         0.0000000000)
(  11,                    1,         0.0000000000)
(  12,                    1,         0.0000000000)
(  13,                    1,         0.0000000000)
(  14,                    1,         0.0000000000)
(  15,                    1,         0.0000000000)
(  16,                    0,                 -inf)
(  17,                    0,                 -inf)
(  18,                    0,                 -inf)
(  19,                    1,         0.0000000000)
(  20,                    2,         1.0000000000)
(  21,                    3,         1.5849625007)
(  22,                    2,         1.0000000000)
(  23,                    3,         1.5849625007)
(  24,                    1,         0.0000000000)
(  25,                    0,                 -inf)
(  26,                    0,                 -inf)
(  27,                    0,                 -inf)
(  28,                    2,         1.0000000000)
(  29,                    1,         0.0000000000)
(  30,                    0,                 -inf)
(  31,                    2,         1.0000000000)
==================================================================
# Function call (real) = 33283
# Function call (if without collision) = 32768

Takes time: 0.0000478167 mins.

