==================================================================
 n = 17
 t = 9
 s = 5
==================================================================
offset           #collisions     log2(#collisions)
(   0,                    1,         0.0000000000)
(   1,                    2,         1.0000000000)
(   2,                    2,         1.0000000000)
(   3,                    0,                 -inf)
(   4,                    1,         0.0000000000)
(   5,                    1,         0.0000000000)
(   6,                    3,         1.5849625007)
(   7,                    2,         1.0000000000)
(   8,                    2,         1.0000000000)
(   9,                    3,         1.5849625007)
(  10,                    1,         0.0000000000)
(  11,                    0,                 -inf)
(  12,                    1,         0.0000000000)
(  13,                    1,         0.0000000000)
(  14,                    0,                 -inf)
(  15,                    1,         0.0000000000)
(  16,                    1,         0.0000000000)
(  17,                    2,         1.0000000000)
(  18,                    0,                 -inf)
(  19,                    0,                 -inf)
(  20,                    1,         0.0000000000)
(  21,                    1,         0.0000000000)
(  22,                    1,         0.0000000000)
(  23,                    0,                 -inf)
(  24,                    2,         1.0000000000)
(  25,                    0,                 -inf)
(  26,                    1,         0.0000000000)
(  27,                    0,                 -inf)
(  28,                    1,         0.0000000000)
(  29,                    0,                 -inf)
(  30,                    1,         0.0000000000)
(  31,                    0,                 -inf)
==================================================================
# Function call (real) = 16257
# Function call (if without collision) = 16384

Takes time: 0.0000245167 mins.

