==================================================================
 n = 26
 t = 13
 s = 7
==================================================================
offset           #collisions     log2(#collisions)
(   0,                    0,                 -inf)
(   1,                    0,                 -inf)
(   2,                    1,         0.0000000000)
(   3,                    0,                 -inf)
(   4,                    0,                 -inf)
(   5,                    1,         0.0000000000)
(   6,                    1,         0.0000000000)
(   7,                    0,                 -inf)
(   8,                    1,         0.0000000000)
(   9,                    1,         0.0000000000)
(  10,                    0,                 -inf)
(  11,                    0,                 -inf)
(  12,                    0,                 -inf)
(  13,                    0,                 -inf)
(  14,                    0,                 -inf)
(  15,                    0,                 -inf)
(  16,                    0,                 -inf)
(  17,                    1,         0.0000000000)
(  18,                    1,         0.0000000000)
(  19,                    1,         0.0000000000)
(  20,                    0,                 -inf)
(  21,                    1,         0.0000000000)
(  22,                    0,                 -inf)
(  23,                    0,                 -inf)
(  24,                    1,         0.0000000000)
(  25,                    0,                 -inf)
(  26,                    0,                 -inf)
(  27,                    1,         0.0000000000)
(  28,                    0,                 -inf)
(  29,                    0,                 -inf)
(  30,                    0,                 -inf)
(  31,                    0,                 -inf)
(  32,                    0,                 -inf)
(  33,                    1,         0.0000000000)
(  34,                    0,                 -inf)
(  35,                    0,                 -inf)
(  36,                    1,         0.0000000000)
(  37,                    0,                 -inf)
(  38,                    2,         1.0000000000)
(  39,                    2,         1.0000000000)
(  40,                    2,         1.0000000000)
(  41,                    0,                 -inf)
(  42,                    0,                 -inf)
(  43,                    0,                 -inf)
(  44,                    2,         1.0000000000)
(  45,                    1,         0.0000000000)
(  46,                    0,                 -inf)
(  47,                    3,         1.5849625007)
(  48,                    1,         0.0000000000)
(  49,                    0,                 -inf)
(  50,                    1,         0.0000000000)
(  51,                    0,                 -inf)
(  52,                    0,                 -inf)
(  53,                    0,                 -inf)
(  54,                    0,                 -inf)
(  55,                    2,         1.0000000000)
(  56,                    0,                 -inf)
(  57,                    0,                 -inf)
(  58,                    2,         1.0000000000)
(  59,                    1,         0.0000000000)
(  60,                    1,         0.0000000000)
(  61,                    0,                 -inf)
(  62,                    2,         1.0000000000)
(  63,                    4,         2.0000000000)
(  64,                    0,                 -inf)
(  65,                    0,                 -inf)
(  66,                    0,                 -inf)
(  67,                    2,         1.0000000000)
(  68,                    2,         1.0000000000)
(  69,                    0,                 -inf)
(  70,                    0,                 -inf)
(  71,                    2,         1.0000000000)
(  72,                    0,                 -inf)
(  73,                    0,                 -inf)
(  74,                    1,         0.0000000000)
(  75,                    1,         0.0000000000)
(  76,                    0,                 -inf)
(  77,                    0,                 -inf)
(  78,                    1,         0.0000000000)
(  79,                    1,         0.0000000000)
(  80,                    1,         0.0000000000)
(  81,                    0,                 -inf)
(  82,                    0,                 -inf)
(  83,                    0,                 -inf)
(  84,                    0,                 -inf)
(  85,                    0,                 -inf)
(  86,                    0,                 -inf)
(  87,                    0,                 -inf)
(  88,                    0,                 -inf)
(  89,                    0,                 -inf)
(  90,                    0,                 -inf)
(  91,                    0,                 -inf)
(  92,                    0,                 -inf)
(  93,                    1,         0.0000000000)
(  94,                    0,                 -inf)
(  95,                    0,                 -inf)
(  96,                    0,                 -inf)
(  97,                    0,                 -inf)
(  98,                    0,                 -inf)
(  99,                    0,                 -inf)
( 100,                    0,                 -inf)
( 101,                    0,                 -inf)
( 102,                    0,                 -inf)
( 103,                    2,         1.0000000000)
( 104,                    0,                 -inf)
( 105,                    1,         0.0000000000)
( 106,                    0,                 -inf)
( 107,                    1,         0.0000000000)
( 108,                    1,         0.0000000000)
( 109,                    1,         0.0000000000)
( 110,                    1,         0.0000000000)
( 111,                    0,                 -inf)
( 112,                    1,         0.0000000000)
( 113,                    0,                 -inf)
( 114,                    1,         0.0000000000)
( 115,                    2,         1.0000000000)
( 116,                    0,                 -inf)
( 117,                    1,         0.0000000000)
( 118,                    0,                 -inf)
( 119,                    0,                 -inf)
( 120,                    0,                 -inf)
( 121,                    1,         0.0000000000)
( 122,                    1,         0.0000000000)
( 123,                    1,         0.0000000000)
( 124,                    0,                 -inf)
( 125,                    0,                 -inf)
( 126,                    0,                 -inf)
( 127,                    0,                 -inf)
==================================================================
# Function call (real) = 1052447
# Function call (if without collision) = 1048576

Takes time: 0.0014787333 mins.

